N;Initializer;Reiche
99;;" Guardians of Yggdrasil;27th Gox Legion;Alari Ascendancy;Arken Mechnocracy;Atoriax Republic;Awaiter of the Singularity;Azith Reick;Bathyrian Archduchy;Black Army;Black Tyrannis;Celestrial Empire;Clerk State;Commune of Haumea;Council of the Reborn;Covenant of Uriy;Cult of Dioa;Democratic Republic of Almania;Empire of The Fist;Federal Republic of Almania;Federation of Terrakin;Fravallonian Aquifiers;Free Interstellar Nations;Freedom Crusade;Gorothian Mechanocracy;Great Fafossan Crusade;Great Qud Clique;Greater Prossan Empire;Gryphite Emergency Government;Guards to the Gates of Babylon ;Guilds of Minimor;Haa'ra Perfectionists;Hal-ka Consciousness;Hermit Kingdom of Juche;Hirriosh Empire;Imperial Core of Vermillion;Imperium Remanum;Interstellar Financial Clerkship;Kukia Teikoku;League of Free Nations;League of Nereum States;League of Survivors;Masters of the Starry Canvas;Metal Warrior Kingdom;Nacloridan State;Nogger Choc Incorporate Ltd. ;Okon Commune;Ordensstaat Burgund;Orion's Refuge;Outer Refuge;People's Liberation Army;People's Supreme Republics;Rapaxspora Dominans;Realm of the Azurian Crown;Realm of the Highest Being;Realm of the Obsidian Crown;Rhalata Shera;Rharion's Idyll Protectorate;Roots of the Cedar;Sacred Circuitry Order;Seekers of the Past;Senate of Codexia;Shadow Council;Silvernia Utopia;Sneed's Feed & Gaia Seed;Sneeding Initiative;Souki Nation;Soul of the Galaxy;State of Utopia;Stellar Viss Republic;Symbiotes of Terra Palia;Systems of the Free;Tenarian Reformed Church;The Blue Horde;The Caliphate;The Cravers;The Dwaph Complex;The First;The Galactic Papacy;The Great Hond Empire;The Heralds;The Mortal Archkingdom;The Promethokratia;The Red Army;The Shroudborn;The Sophan Directorate;The Thousand Year Empire;The World-Eaters;Thralldom of Ea Nasir;Tumbatoran Sovereignty;Tyrathian Cooperative;Union of Free Peoples;Union of Stellar Socialist Republics;United Agrarian Communes;United Districts of Dix;Wagner PMC;Wagnerite PMC;Will of Phila;Will of the Creator;pi_calc.py"
2;custom_starting_init_01;"Children of the Stars;Vastuan Mining Corp."
2;custom_starting_init_02;"Order of the Ethereal;Second Shahan-shahi"
2;custom_starting_init_05;"Gryphonian University of Astropolitical Sciences;Lone Star State"
1;deneb_system;Federation of Cradon
1;fear_of_the_dark_system;Etharian Unity
4;ocean_paradise_start;"Blessed Zumatran Sapdom;Holy Volturian Empire;Liberty Vanguard;Mandate of the Great Old Ones"
3;sol_system_initializer;"Human Rescue Protocol;Sol Emergency Government;Undefiled Sons of Sol"
1;toxic_knights_start;Tenebrous Warpath
1;void_dweller_system;Nylli Company
